ID	TIPO	CHEGADA	TEMPO_ESPERA	TEMPO_SERVICO	SAIDA	PASSO	SERVIDOR
251	COMPLEXA	1,72849	175,11259	0,00347	176,84456	AppServerResponse	AppServerResponse1
252	REGULAR	0,28007	1,44842	0,00056	1,72906	AppServerRequest	AppServerRequest1
252	REGULAR	1,72906	176,56392	0,00085	178,29382	AppServerResponse	AppServerResponse1
253	REGULAR	0,28147	1,44759	0,01294	1,74200	AppServerRequest	AppServerRequest1
253	REGULAR	1,74200	177,99942	0,01372	179,75513	AppServerResponse	AppServerResponse1
254	REGULAR	0,28358	1,45841	0,01147	1,75347	AppServerRequest	AppServerRequest1
254	REGULAR	1,75347	179,46008	0,01328	181,22682	AppServerResponse	AppServerResponse1
255	REGULAR	0,28461	1,46886	0,00301	1,75648	AppServerRequest	AppServerRequest1
255	REGULAR	1,75648	180,93920	0,00651	182,70219	AppServerResponse	AppServerResponse1
256	REGULAR	0,28521	1,47126	0,00035	1,75682	AppServerRequest	AppServerRequest1
256	REGULAR	1,75682	182,41663	0,00576	184,17921	AppServerResponse	AppServerResponse1
257	REGULAR	0,28530	1,47152	0,01069	1,76752	AppServerRequest	AppServerRequest1
257	REGULAR	1,76752	183,88322	0,01231	185,66305	AppServerResponse	AppServerResponse1
258	REGULAR	0,28535	1,48217	0,03407	1,80158	AppServerRequest	AppServerRequest1
258	REGULAR	1,80158	185,34363	0,03411	187,17932	AppServerResponse	AppServerResponse1
259	REGULAR	0,28540	1,51619	0,00304	1,80462	AppServerRequest	AppServerRequest1
259	REGULAR	1,80462	186,89089	0,02353	188,71904	AppServerResponse	AppServerResponse1
260	REGULAR	0,28561	1,51901	0,00571	1,81034	AppServerRequest	AppServerRequest1
260	REGULAR	1,81034	188,42771	0,00982	190,24787	AppServerResponse	AppServerResponse1
261	COMPLEXA	0,28631	1,52402	0,00102	1,81136	AppServerRequest	AppServerRequest1
261	COMPLEXA	1,81136	189,96053	0,00404	191,77594	AppServerResponse	AppServerResponse1
262	REGULAR	0,28729	1,52407	0,00407	1,81543	AppServerRequest	AppServerRequest1
262	REGULAR	1,81543	191,48458	0,02390	193,32391	AppServerResponse	AppServerResponse1
263	REGULAR	0,28821	1,52722	0,00477	1,82020	AppServerRequest	AppServerRequest1
263	REGULAR	1,82020	193,03093	0,00890	194,86003	AppServerResponse	AppServerResponse1
264	COMPLEXA	0,28826	1,53193	0,00259	1,82279	AppServerRequest	AppServerRequest1
264	COMPLEXA	1,82279	194,56918	0,00360	196,39557	AppServerResponse	AppServerResponse1
265	REGULAR	0,28853	1,53426	0,00196	1,82475	AppServerRequest	AppServerRequest1
265	REGULAR	1,82475	196,10507	0,00306	197,93288	AppServerResponse	AppServerResponse1
266	REGULAR	0,28895	1,53580	0,00506	1,82980	AppServerRequest	AppServerRequest1
266	REGULAR	1,82980	197,63888	0,01067	199,47935	AppServerResponse	AppServerResponse1
267	COMPLEXA	0,28971	1,54010	0,00249	1,83230	AppServerRequest	AppServerRequest1
267	COMPLEXA	1,83230	199,18715	0,00496	201,02441	AppServerResponse	AppServerResponse1
268	REGULAR	0,29070	1,54159	0,00404	1,83634	AppServerRequest	AppServerRequest1
268	REGULAR	1,83634	200,72966	0,00912	202,57512	AppServerResponse	AppServerResponse1
269	COMPLEXA	0,29075	1,54559	0,00072	1,83706	AppServerRequest	AppServerRequest1
269	COMPLEXA	1,83706	202,28364	0,00608	204,12678	AppServerResponse	AppServerResponse1
270	REGULAR	0,29124	1,54581	0,00217	1,83922	AppServerRequest	AppServerRequest1
270	REGULAR	1,83922	203,83337	0,00940	205,68200	AppServerResponse	AppServerResponse1
271	REGULAR	0,29182	1,54740	0,03970	1,87892	AppServerRequest	AppServerRequest1
271	REGULAR	1,87892	205,35048	0,04501	207,27441	AppServerResponse	AppServerResponse1
272	COMPLEXA	0,29213	1,58679	0,00072	1,87964	AppServerRequest	AppServerRequest1
272	COMPLEXA	1,87964	206,98156	0,00731	208,86850	AppServerResponse	AppServerResponse1
273	REGULAR	0,29420	1,58544	0,00404	1,88368	AppServerRequest	AppServerRequest1
273	REGULAR	1,88368	208,57026	0,03344	210,48738	AppServerResponse	AppServerResponse1
